zipcode,mean_household_income
6794,112591
6783,150709
6779,73233
6426,129515
6420,107881
6488,63955
6518,118664
6418,54377
6401,65023
6359,98879
6249,89634
6389,83748
6243,72469
6331,77278
6247,88187
6377,67953
6332,74010
6811,84962
6878,310896
6905,151377
6883,281958
6851,155474
6776,117435
6013,126754
6082,80294
6053,49779
6052,80412
6060,130951
6078,153878
6108,48258
6763,91326
6069,101074
6790,62614
6061,109693
6024,58675
6480,113738
6498,93270
6412,100140
6414,102136
6512,67325
6471,103097
6519,48788
6510,36056
6443,146058
6355,97101
6371,151089
6254,79409
6320,41739
6238,83054
6280,58299
6354,63835
6259,90096
6607,43782
6824,325032
6890,307906
6482,155379
6470,161551
6896,191987
6854,45179
6853,241922
6856,75992
6107,139352
6023,96583
6090,130951
6073,160625
6042,61042
6021,94407
6058,92213
6778,95328
6419,122073
6442,129515
6409,129515
6438,101497
6416,114041
6472,103097
6702,18734
6473,85139
6770,58012
6405,96695
6403,83382
6378,109259
6385,84883
6334,90346
6029,90326
6071,108300
6279,76421
6373,67953
6263,50702
6604,36881
6804,145689
6825,117637
6907,137541
6615,56294
6880,235483
6840,437538
6117,144295
6106,38208
6112,66613
6489,69501
6016,83046
6093,105572
6479,89438
6092,193842
6467,89438
6065,100020
6067,83914
6777,112591
6793,112591
6423,102768
6460,125539
6706,63678
6492,114185
6477,124592
6514,91993
6517,141816
6450,65177
6762,114480
6437,135469
6375,89156
6335,107895
6376,126678
6226,55775
6231,122624
6043,103534
6277,79336
6235,79763
6897,232523
6605,48650
6831,458173
6903,259848
6901,69483
6850,106849
6484,123838
6614,102369
6010,82158
6091,100020
6035,101266
6447,119555
6444,89438
6002,125447
6110,71408
6026,103927
6451,64071
6020,134373
6791,110953
6059,93367
6750,101164
6057,109693
6018,58675
6469,87528
6415,113569
6457,62251
6441,101497
6455,99108
6483,90012
6515,51375
6705,56742
6513,30342
6340,60339
6330,74683
6353,87274
6232,98361
6066,64221
6237,94098
6387,74010
6855,131345
6870,364743
6119,69342
6037,112434
6032,127282
6027,100020
6062,67701
6109,81102
6022,134373
6040,80505
6759,101164
6796,118069
6787,82075
6785,116981
6068,109406
6795,90398
6422,113550
6413,98043
6417,88430
6424,104330
6456,84313
6511,41715
6704,51846
6716,97854
6380,61063
6333,125345
6351,84753
6336,90346
6365,85573
6084,123458
6242,93586
6255,62494
6256,58299
6266,58299
20535,153981
20011,53077
20018,70044
20037,94579
20204,77633
20052,31233
20307,87851
20010,77385
20317,56897
20373,69907
20006,31233
20053,77633
20016,333852
20015,222145
20005,73814
20319,89557
20228,99090
20260,99090
20017,61472
20003,66017
20007,147623
20064,48978
20008,203784
20002,54106
20012,87851
20009,87565
20427,88424
20553,99090
20045,153981
20405,31233
20032,36616
20020,36092
20036,88424
20202,99090
20019,46314
20001,81488
20390,119870
20593,39174
20240,31233
62359,55291
62376,55291
62312,48574
62365,62799
62246,58681
62262,71985
61114,106185
61344,56157
61376,56157
61322,49022
61421,53621
61345,58469
