STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
21163,26349,0.04129189,0.92371627,39820,0.09214771,0.396428178,0.586374159
21165,6556,0.013727883,0.976357535,23745,0.234289201,0.461538462,0.520231214
21167,20817,0.036940962,0.940000961,37379,0.117019743,0.358202039,0.621177016
21169,10037,0.016439175,0.972601375,24568,0.202251669,0.342426604,0.64328397
21171,11756,0.027560395,0.955682205,23753,0.200578428,0.207936793,0.785957982
21173,22554,0.034761018,0.950696107,32576,0.142768467,0.449935438,0.532222092
21175,13948,0.043805564,0.945870376,23231,0.228706625,0.442216981,0.541273585
21177,31839,0.046483872,0.94189516,29787,0.146455605,0.526513884,0.461525594
21179,37477,0.055073779,0.928356058,40625,0.107319156,0.40636121,0.571915777
21181,6813,0.008366358,0.983120505,30695,0.145310436,0.371866816,0.603441826
21183,22916,0.007462035,0.977090243,30580,0.154913597,0.371875704,0.609434812
21185,46178,0.042076313,0.936160076,64895,0.043917017,0.307677127,0.670021709
21187,10547,0.011282829,0.970323315,33773,0.15900256,0.342506143,0.634398034
21189,4858,0.00102923,0.992177851,17062,0.360024702,0.185651698,0.802847755
21191,14390,0.004933982,0.983947186,39263,0.112508687,0.347699355,0.63377056
21193,29390,0.016400136,0.973426335,23868,0.240285812,0.501272727,0.481818182
21195,68736,0.004539106,0.98345845,25786,0.199967993,0.545859234,0.441347504
21197,13237,0.006194757,0.985570749,27063,0.204955806,0.460339294,0.517652453
21199,56217,0.010744081,0.974758525,28266,0.163687141,0.251381087,0.735574022
21201,2266,0.000441306,0.986319506,30559,0.172109444,0.341683367,0.631262525
21203,16582,0.001387046,0.988119648,25054,0.196598722,0.223746903,0.760815704
21205,22094,0.015615099,0.959762832,29020,0.169367249,0.485053972,0.490727927
21207,16315,0.005822862,0.983389519,23394,0.211952191,0.24173028,0.744698897
21209,33061,0.053507153,0.919421675,48878,0.092949397,0.396924416,0.576817061
21211,33337,0.088250292,0.866124726,46806,0.087950325,0.348170827,0.633380436
21213,16405,0.102163974,0.878390735,37587,0.110697958,0.443509615,0.544127747
21215,11766,0.011303757,0.975012749,47202,0.089240184,0.325649623,0.660100587
21217,22927,0.050551751,0.93623239,28712,0.153138221,0.308253232,0.679593415
21219,11971,0.0875449,0.893158466,30903,0.149026815,0.357296394,0.631956054
21221,12597,0.097880448,0.883384933,34220,0.116932603,0.394835329,0.585703593
21223,8125,0.002953846,0.978953846,36509,0.122215385,0.383317105,0.596234989
21225,15637,0.128861035,0.850354927,35049,0.127518066,0.47447839,0.512108793
21227,92522,0.085752578,0.869782322,37385,0.126283479,0.369370735,0.613646702
21229,10916,0.075119091,0.906192745,34102,0.123671675,0.317785527,0.663469922
21231,19923,0.014907393,0.969783667,22368,0.232143753,0.357120791,0.628514056
21233,14120,0.04674221,0.936260623,33346,0.133286119,0.470820189,0.512421136
21235,35865,0.003429527,0.983688833,23413,0.233960686,0.348309835,0.637166638
21237,7065,0.002406228,0.992356688,19977,0.310403397,0.468453608,0.522474227
21239,23208,0.054119269,0.92084626,51459,0.072518097,0.394100819,0.581039755
22000,4468976,0.324894114,0.639108601,32124,0.168551811,0.448753325,0.525510632
22001,58861,0.182463771,0.807342723,28022,0.192351472,0.382649109,0.594457354
22003,25440,0.246029874,0.718985849,28385,0.177555031,0.472021225,0.486613603
22005,76627,0.202787529,0.77393086,45398,0.108082008,0.433957982,0.545260018
22007,23388,0.315161621,0.671711989,31923,0.180904737,0.519446931,0.436486621
22009,41481,0.294906102,0.684699019,24925,0.217762349,0.457312496,0.500170614
22011,32986,0.129176014,0.842478627,33830,0.144121749,0.324293322,0.644162229
22013,15752,0.437849162,0.549200102,24861,0.212163535,0.487153868,0.466600057
22015,98310,0.208198556,0.746648357,39570,0.118512867,0.332256717,0.646637895
22017,252161,0.446076118,0.529122267,32265,0.184294954,0.496972992,0.489413315
22019,183577,0.239817624,0.735969103,36307,0.137588042,0.46063067,0.517219838
22021,10560,0.178977273,0.804261364,27411,0.180492424,0.314001848,0.650878004
22023,9991,0.038834951,0.936542889,36018,0.11059954,0.343055224,0.619890031
22025,10920,0.271245421,0.717765568,23738,0.236630037,0.360545645,0.61112277
22027,16851,0.473681087,0.517951457,26100,0.218147291,0.433211272,0.538767712
22029,20247,0.377191683,0.607497407,23865,0.235689238,0.419931757,0.54441699
22031,25494,0.421589394,0.559700322,29004,0.203028163,0.475273688,0.496413741
22033,412852,0.400933022,0.561668588,37943,0.14318206,0.452786868,0.527418944
22035,9421,0.672858508,0.315996179,20566,0.347096911,0.578120185,0.394453005
22037,21360,0.470833333,0.517930712,31307,0.166900749,0.47783677,0.500185208
22039,35434,0.285657843,0.704154202,22405,0.241096122,0.423376433,0.535556862
22041,21263,0.316088981,0.671636176,23698,0.248647886,0.334131163,0.641814265
22043,18698,0.118836239,0.854262488,30757,0.180393625,0.29751949,0.678100638
22045,73266,0.308110174,0.65080665,32019,0.186812437,0.391805463,0.574150566
22047,33320,0.4969988,0.492557023,29869,0.182923169,0.576087706,0.384265324
22049,15397,0.278690654,0.710138339,29901,0.166525947,0.363354911,0.611736561
22051,455466,0.228603233,0.698190425,37695,0.132940768,0.393025995,0.586114507
22053,31435,0.177859074,0.806012407,29083,0.176586607,0.411445879,0.553562889
22055,190503,0.238032997,0.733626242,37673,0.140627707,0.347285198,0.619352943
22057,89974,0.126136439,0.828506013,36058,0.138328851,0.424598682,0.53920288
22059,14282,0.121971713,0.861293936,29359,0.152009522,0.228716437,0.747216765
22061,42509,0.3983627,0.574207815,28493,0.179632548,0.413932693,0.55863694
22063,91814,0.042194001,0.943483565,40277,0.117313264,0.298603011,0.675139021
22065,13728,0.603365385,0.378569347,21277,0.277316434,0.52477335,0.448450348
22067,31021,0.43360949,0.55759002,25795,0.224686503,0.429267105,0.538998458
22069,39080,0.38426305,0.578505629,26809,0.204119754,0.466042943,0.493504745
22071,484674,0.672507706,0.280510199,27788,0.236486793,0.759459445,0.217436169
22073,147250,0.336339559,0.644801358,31808,0.177371817,0.368607308,0.603099071
22075,26757,0.233882722,0.697686587,37305,0.150614792,0.404812003,0.576525478
22077,22763,0.37785002,0.609102491,31675,0.176865967,0.536650665,0.434822747
22079,126337,0.304305152,0.665078322,30636,0.179551517,0.385484661,0.588099706
22081,9622,0.409062565,0.578673872,24249,0.235086261,0.481424149,0.486510394
22083,20981,0.380058148,0.609646823,24238,0.242552786,0.386800236,0.576900412
22085,23459,0.168719894,0.726714694,28150,0.183682169,0.321146468,0.6492891
22087,67229,0.07618736,0.882892799,35711,0.127221883,0.408161839,0.567939625
22089,48072,0.252329839,0.723976535,45786,0.116450325,0.414597861,0.556996746
22091,10525,0.524180523,0.465273159,26649,0.223182898,0.582223068,0.374000761
22093,21216,0.493778281,0.499905732,35465,0.161906109,0.609341429,0.356188697
22095,43044,0.447634978,0.525810798,38674,0.158930397,0.550160899,0.419070739
22097,87700,0.421345496,0.565051311,23952,0.231721779,0.529032825,0.452373283
22099,48583,0.319762057,0.659489945,30935,0.182677068,0.474203484,0.47940129
22101,53500,0.317925234,0.627869159,29797,0.19317757,0.451673544,0.519257221
22103,191268,0.098965849,0.870286718,50376,0.102144635,0.271349583,0.706891816
22105,100588,0.283522885,0.697647831,29332,0.207728556,0.426402907,0.549616472
22107,6618,0.553792687,0.434270172,20635,0.299335147,0.524916944,0.441860465
22109,104503,0.177927906,0.740658163,36050,0.157564855,0.393019768,0.581158828
22111,22803,0.27948077,0.697890628,29788,0.165636101,0.343037568,0.617788719
22113,53807,0.141691601,0.826806921,30415,0.172412511,0.391454913,0.561951878
22115,52531,0.170604024,0.737031467,32768,0.117987474,0.336660158,0.636002025
22117,43926,0.315325775,0.674179302,25052,0.220552748,0.438147688,0.531947652
22119,41831,0.328345007,0.655136143,29338,0.165929574,0.421123464,0.551199532
22121,21601,0.354890977,0.627795009,37574,0.136614046,0.497394041,0.484216737
22123,12314,0.188809485,0.798928049,25368,0.20862433,0.282139037,0.688770053
22125,15111,0.505128714,0.486268281,38779,0.127390643,0.45,0.516872428
22127,16894,0.320291228,0.6626613,26100,0.198709601,0.340669706,0.633233768
